,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,year_x,month,movie_and_year,profit,profit_margin,budget_tier,title,studio,domestic_gross_y,foreign_gross,year_y,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
314,91,2015-08-21,Sinister 2,10000000.0,27740955.0,54104225.0,2015,Aug,Sinister 2 - 2015,44104225.0,81.51715508354476,low budget,Sinister 2,Focus,27700000.0,25100000,2015,tt2752772,Sinister 2,Sinister 2,2015.0,97.0,"Horror,Mystery,Thriller"
315,92,2016-01-08,The Forest,10000000.0,26594261.0,40749230.0,2016,Jan,The Forest - 2016,30749230.0,75.45965899232942,low budget,The Forest,Focus,26600000.0,11000000,2016,tt3387542,The Forest,The Forest,2016.0,93.0,"Horror,Mystery,Thriller"
316,92,2016-01-08,The Forest,10000000.0,26594261.0,40749230.0,2016,Jan,The Forest - 2016,30749230.0,75.45965899232942,low budget,The Forest,Focus,26600000.0,11000000,2016,tt4982356,The Forest,The Forest,2016.0,109.0,"Drama,Fantasy,Horror"
317,100,2017-12-01,The Disaster Artist,10000000.0,21120616.0,28717667.0,2017,Dec,The Disaster Artist - 2017,18717667.0,65.17822983322426,low budget,The Disaster Artist,A24,21100000.0,8700000,2017,tt3521126,The Disaster Artist,The Disaster Artist,2017.0,104.0,"Biography,Comedy,Drama"
318,1,2016-09-16,Blair Witch,10000000.0,20777061.0,38985577.0,2016,Sep,Blair Witch - 2016,28985577.0,74.34948827357358,low budget,Blair Witch,LGF,20800000.0,24400000,2016,tt1540011,Blair Witch,Blair Witch,2016.0,89.0,"Horror,Mystery,Thriller"
327,87,2016-12-02,Jackie,9000000.0,13960394.0,36588512.0,2016,Dec,Jackie - 2016,27588512.0,75.4021152868966,very-low budget,Jackie,FoxS,14000000.0,,2016,tt1619029,Jackie,Jackie,2016.0,100.0,"Biography,Drama,History"
328,92,2016-11-04,Loving,9000000.0,7710234.0,12898064.0,2016,Nov,Loving - 2016,3898064.0,30.22208604330076,very-low budget,Loving,Focus,7800000.0,5200000,2016,tt4669986,Loving,Loving,2016.0,123.0,"Biography,Drama,Romance"
330,33,2015-02-20,The DUFF,8500000.0,34030343.0,43528634.0,2015,Feb,The DUFF - 2015,35028634.0,80.47262406626406,very-low budget,The DUFF,LGF,34000000.0,9500000,2015,,,,,,
331,34,2014-10-31,Nightcrawler,8500000.0,32381218.0,50334418.0,2014,Oct,Nightcrawler - 2014,41834418.0,83.11294669186401,very-low budget,Nightcrawler,ORF,32400000.0,6300000,2014,tt2872718,Nightcrawler,Nightcrawler,2014.0,117.0,"Crime,Drama,Thriller"
333,78,2014-01-31,That Awkward Moment,8000000.0,26068955.0,53068955.0,2014,Jan,That Awkward Moment - 2014,45068955.0,84.92527316582736,very-low budget,That Awkward Moment,Focus,26100000.0,14400000,2014,tt1800246,That Awkward Moment,That Awkward Moment,2014.0,94.0,"Comedy,Romance"
335,100,2015-06-12,Me and Earl and the Dying Girl,8000000.0,6758416.0,9266180.0,2015,Jun,Me and Earl and the Dying Girl - 2015,1266180.0,13.664530583260849,very-low budget,Me and Earl and the Dying Girl,FoxS,6800000.0,2300000,2015,tt2582496,Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,2015.0,105.0,"Comedy,Drama,Romance"
338,4,2017-04-07,Gifted,7000000.0,24801212.0,36964656.0,2017,Apr,Gifted - 2017,29964656.0,81.0629916317901,very-low budget,Gifted,FoxS,24800000.0,18200000,2017,tt4481414,Gifted,Gifted,2017.0,101.0,Drama
339,11,2015-06-19,Dope,7000000.0,17506470.0,18190831.0,2015,Jun,Dope - 2015,11190831.0,61.51907518683451,very-low budget,Dope,ORF,17500000.0,480000,2015,tt3850214,Dope,Dope,2015.0,103.0,"Comedy,Crime,Drama"
340,84,2014-10-03,Annabelle,6500000.0,84273813.0,256862920.0,2014,Oct,Annabelle - 2014,250362920.0,97.4694673719352,very-low budget,Annabelle,WB (NL),84300000.0,172800000,2014,tt3322940,Annabelle,Annabelle,2014.0,99.0,"Horror,Mystery,Thriller"
341,37,2018-11-30,The Possession of Hannah Grace,6000000.0,14836174.0,42785387.0,2018,Nov,The Possession of Hannah Grace - 2018,36785387.0,85.97652044143015,very-low budget,The Possession of Hannah Grace,SGem,14800000.0,28200000,2018,tt5734576,The Possession of Hannah Grace,The Possession of Hannah Grace,2018.0,86.0,"Horror,Mystery,Thriller"
342,61,2014-07-18,Wish I Was Here,6000000.0,3591299.0,6591365.0,2014,Jul,Wish I Was Here - 2014,591365.0,8.971813880736388,very-low budget,Wish I Was Here,Focus,3600000.0,1900000,2014,tt2870708,Wish I Was Here,Wish I Was Here,2014.0,106.0,"Comedy,Drama"
343,20,2018-09-28,Hell Fest,5500000.0,11107431.0,18119231.0,2018,Sep,Hell Fest - 2018,12619231.0,69.64551089392259,very-low budget,Hell Fest,LGF,11100000.0,7100000,2018,tt1999890,Hell Fest,Hell Fest,2018.0,89.0,Horror
344,49,2017-02-24,Get Out,5000000.0,176040665.0,255367951.0,2017,Feb,Get Out - 2017,250367951.0,98.0420409137402,very-low budget,Get Out,Uni.,176000000.0,79400000,2017,tt5052448,Get Out,Get Out,2017.0,104.0,"Horror,Mystery,Thriller"
345,50,2017-01-20,Split,5000000.0,138141585.0,278964806.0,2017,Jan,Split - 2017,273964806.0,98.20765921275388,very-low budget,Split,Uni.,138300000.0,140200000,2017,,,,,,
347,55,2016-07-22,Lights Out,5000000.0,67268835.0,148806510.0,2016,Jul,Lights Out - 2016,143806510.0,96.63993194921379,very-low budget,Lights Out,WB (NL),67300000.0,81600000,2016,tt4786282,Lights Out,Lights Out,2016.0,81.0,"Drama,Horror,Mystery"
348,55,2016-07-22,Lights Out,5000000.0,67268835.0,148806510.0,2016,Jul,Lights Out - 2016,143806510.0,96.63993194921379,very-low budget,Lights Out,WB (NL),67300000.0,81600000,2016,tt5328340,Lights Out,Lights Out,2016.0,90.0,Documentary
349,56,2015-09-11,The Visit,5000000.0,65206105.0,98677816.0,2015,Sep,The Visit - 2015,93677816.0,94.9330050028671,very-low budget,The Visit,Uni.,65200000.0,33200000,2015,tt3567288,The Visit,The Visit,2015.0,94.0,"Horror,Mystery,Thriller"
350,58,2017-10-13,Happy Death Day,5000000.0,55683845.0,125010260.0,2017,Oct,Happy Death Day - 2017,120010260.0,96.0003282930537,very-low budget,Happy Death Day,Uni.,55700000.0,69800000,2017,tt5308322,Happy Death Day,Happy Death Day,2017.0,96.0,"Horror,Mystery,Thriller"
351,60,2014-10-24,Ouija,5000000.0,50856010.0,103300632.0,2014,Oct,Ouija - 2014,98300632.0,95.15975855791473,very-low budget,Ouija,Uni.,50900000.0,52700000,2014,tt1204977,Ouija,Ouija,2014.0,89.0,"Horror,Mystery,Thriller"
352,64,2017-06-23,The Big Sick,5000000.0,42872467.0,53972860.0,2017,Jun,The Big Sick - 2017,48972860.0,90.73608476556551,very-low budget,The Big Sick,LGF,42900000.0,13500000,2017,tt5462602,The Big Sick,The Big Sick,2017.0,120.0,"Comedy,Drama,Romance"
